Model/Dataset,AIME-2024,AIME-2025,AMC23,GSM8K,MATH-500,MinervaMath,OlympiadBench,Avg.
Qwen/Qwen3-4B-Base,0.2333,0.1667,0.575,0.8931,0.76,0.614,0.4,0.5203
TIGER-Lab/General-Reasoner-Qwen3-4B,0.1667,0.2,0.525,0.9181,0.804,0.6507,0.4889,0.5362
V1/100,0.2333,0.1,0.6,0.8893,0.768,0.5882,0.4118,0.5129
V1/200,0.1333,0.1667,0.625,0.8825,0.752,0.5809,0.4163,0.5081
V1/300,0.1667,0.1,0.6,0.8893,0.742,0.5993,0.4074,0.5007
V1/400,0.1333,0.1333,0.55,0.8893,0.754,0.6066,0.4148,0.4973
V1/500,0.0667,0.1667,0.55,0.8832,0.762,0.6029,0.4252,0.4938
V1/600,0.0667,0.1,0.55,0.8848,0.764,0.5919,0.4074,0.4807
V1/700,0.0667,0.0333,0.5,0.8764,0.76,0.5993,0.4177,0.4648
V1/800,0.1,0.1333,0.525,0.8931,0.76,0.5993,0.4296,0.4915
V1/900,0.1333,0.1,0.475,0.8893,0.758,0.5809,0.4118,0.4783
V1/1000,0.1,0.1333,0.55,0.8863,0.772,0.6029,0.4222,0.4952
V3/100,0.1,0.1,0.625,0.8878,0.774,0.5956,0.4193,0.5002
V3/200,0.1,0.1,0.6,0.8787,0.768,0.5956,0.4207,0.4947
V3/300,0.2,0.1,0.5,0.8832,0.762,0.5993,0.4148,0.4942
V3/400,0.1,0.0667,0.525,0.8749,0.758,0.6066,0.4148,0.478
V3/500,0.1333,0.1333,0.525,0.8795,0.778,0.6066,0.4148,0.4958
V3/600,0.1,0.0667,0.6,0.8802,0.776,0.6029,0.4237,0.4928
V3/700,0.1,0.1333,0.475,0.8878,0.77,0.5993,0.4045,0.4814
V3/800,0.0667,0.1,0.575,0.8901,0.772,0.5993,0.4207,0.4891
V3/900,0.1333,0.1333,0.575,0.8901,0.788,0.6176,0.4163,0.5077
V3/1000,0.0667,0.0667,0.575,0.8779,0.78,0.5993,0.4104,0.4823
V4/1200,0.1,0.0333,0.575,0.8848,0.766,0.5919,0.4134,0.4806
V4/1400,0.1667,0.0333,0.575,0.8855,0.75,0.625,0.4296,0.495
V4/1600,0.1,0.1,0.475,0.884,0.76,0.6397,0.4222,0.483
V4/1800,0.0667,0.1,0.6,0.8795,0.754,0.6471,0.44,0.4982
